2025-04-13 21:08:19,cardboard_box,0.984,600.6,176.2,78.2,279.9
2025-04-13 21:08:19,rock,0.321,315.4,240.0,630.8,480.0
2025-04-13 21:08:19,cardboard_box,0.983,88.3,201.7,175.1,170.3
2025-04-13 21:08:19,cardboard_box,0.966,600.1,201.0,79.9,172.7
2025-04-13 21:08:19,cardboard_box,0.978,573.7,169.7,132.6,329.1
2025-04-13 21:08:20,cardboard_box,0.984,558.2,188.0,163.6,230.6
2025-04-13 21:08:20,cardboard_box,0.855,33.8,200.3,67.5,188.6
2025-04-13 21:08:20,cardboard_box,0.965,552.6,185.0,174.7,247.3
2025-04-13 21:08:20,cardboard_box,0.372,12.5,204.0,23.9,180.3
2025-04-13 21:08:20,cardboard_box,0.977,556.1,175.7,167.7,350.3
2025-04-13 21:08:21,rock,0.451,332.9,238.4,613.6,476.9
2025-04-13 21:08:22,cardboard_box,0.945,551.0,185.0,177.9,369.8
2025-04-13 21:08:22,rock,0.748,325.5,240.5,627.0,478.9
2025-04-13 21:08:23,cardboard_box,0.777,623.8,170.6,30.8,341.2
2025-04-13 21:08:23,cardboard_box,0.989,503.9,168.1,266.7,317.2
2025-04-13 21:08:24,rock,0.588,447.6,235.7,384.7,471.4
2025-04-13 21:08:24,cardboard_box,0.988,492.2,170.7,290.8,332.4
2025-04-13 21:08:25,rock,0.848,424.3,238.0,418.9,476.0
2025-04-13 21:08:25,cardboard_box,0.3,485.4,188.7,301.4,253.1
2025-04-13 21:08:26,cardboard_box,0.99,530.7,166.7,216.9,324.3
2025-04-13 21:08:27,rock,0.738,239.3,237.6,478.0,475.2
2025-04-13 21:08:27,cardboard_box,0.974,514.4,170.7,250.3,340.3
2025-04-13 21:08:28,cardboard_box,0.95,568.5,167.8,142.9,322.7
2025-04-13 21:08:29,cardboard_box,0.267,314.0,172.2,628.0,283.2
2025-04-13 21:08:30,cardboard_box,0.984,571.2,172.0,137.5,334.7
2025-04-13 21:08:31,cardboard_box,0.442,307.0,254.2,606.7,451.6
2025-04-13 21:08:32,cardboard_box,0.969,602.0,166.3,76.0,325.0
2025-04-13 21:08:32,cardboard_box,0.576,305.9,169.4,604.9,320.0
