epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,108.646,0.6706,0.77271,0.92925,0.96512,1,0.995,0.80871,0.84501,0.51828,1.05517,0.000649046,0.000649046,0.000649046
44,110.759,0.75061,0.75194,0.93006,0.97531,1,0.995,0.81703,0.81227,0.48066,1.03411,0.000638047,0.000638047,0.000638047
45,112.616,0.65889,0.74523,0.91837,0.97228,1,0.995,0.78058,0.84183,0.47327,1.03212,0.000627048,0.000627048,0.000627048
46,114.661,0.70864,0.79435,0.95543,0.97598,1,0.995,0.78786,0.81568,0.45726,1.01804,0.000616049,0.000616049,0.000616049
47,117.069,0.68138,0.74425,0.93502,0.97136,1,0.995,0.79602,0.80371,0.44731,1.01437,0.000605051,0.000605051,0.000605051
48,120.445,0.6448,0.77607,0.92487,0.97022,1,0.995,0.81208,0.79638,0.42756,1.01154,0.000594052,0.000594052,0.000594052
49,122.639,0.58554,0.65912,0.8899,0.97651,1,0.995,0.81703,0.76822,0.4039,0.9926,0.000583053,0.000583053,0.000583053
50,124.63,0.67258,0.75348,0.93949,0.96774,1,0.995,0.82703,0.71707,0.39736,0.97258,0.000572054,0.000572054,0.000572054
51,126.866,0.67839,0.72616,0.94809,0.95961,1,0.995,0.82152,0.69722,0.42513,0.98025,0.000561055,0.000561055,0.000561055
52,128.933,0.59814,0.68974,0.90397,0.96512,1,0.995,0.82312,0.72316,0.4345,0.98316,0.000550056,0.000550056,0.000550056
53,130.921,0.67718,0.73975,0.94741,0.96371,1,0.995,0.84358,0.69264,0.44194,0.96387,0.000539057,0.000539057,0.000539057
54,134.186,0.6811,0.68222,0.92336,0.95957,1,0.995,0.83035,0.64248,0.42303,0.9318,0.000528058,0.000528058,0.000528058
55,136.718,0.68717,0.67383,0.89587,0.96176,1,0.995,0.82591,0.69409,0.43284,0.94987,0.000517059,0.000517059,0.000517059
56,138.739,0.62636,0.69266,0.92995,0.97428,1,0.995,0.81207,0.73251,0.42235,0.96779,0.00050606,0.00050606,0.00050606
57,140.852,0.62425,0.67395,0.92756,0.97368,1,0.995,0.83366,0.7071,0.42177,0.94892,0.000495062,0.000495062,0.000495062
58,142.786,0.62044,0.62355,0.90736,0.96109,1,0.995,0.83917,0.70515,0.4298,0.96368,0.000484063,0.000484063,0.000484063
59,144.821,0.62015,0.75204,0.92199,0.957,0.99808,0.995,0.83581,0.73161,0.44005,0.98361,0.000473064,0.000473064,0.000473064
